no,concept_code,concept_name,concept_synonym,domain_id,matchScore_a,targetConceptId_a,targetConceptName_a,targetVocabularyId_a,targetDomainId_a,targetStandardConcept_a,targetChildCount_a,targetParentCount_a,targetConceptClassId_a,targetConceptCode_a,targetValidStartDate_a,targetValidEndDate_a,matchScore_b,targetConceptId_b,targetConceptName_b,targetVocabularyId_b,targetDomainId_b,targetStandardConcept_b,targetChildCount_b,targetParentCount_b,targetConceptClassId_b,targetConceptCode_b,targetValidStartDate_b,targetValidEndDate_b,matchScore_fixed,targetConceptId_fixed,targetConceptName_fixed,targetVocabularyId_fixed,targetDomainId_fixed,targetStandardConcept_fixed,targetConceptClassId_fixed,targetConceptCode_fixed,targetValidStartDate_fixed,targetValidEndDate_fixed
11,A1112,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 2 grade","의료최고도 count 3-6, 의사1(전문의수50%미만)·간호2등급",Procedure,0.222427607,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.288274318,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.222427607,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
12,A1113,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 3 grade","의료최고도 count 3-6, 의사1(전문의수50%미만)·간호3등급",Procedure,0.221162647,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.22535035,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.221162647,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
13,A1114,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 4 grade","의료최고도 count 3-6, 의사1(전문의수50%미만)·간호4등급",Procedure,0.220443383,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.292522579,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.220443383,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
14,A1116,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 6 grade","의료최고도 count 3-6, 의사1(전문의수50%미만)·간호6등급",Procedure,0.220330641,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.292313874,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.220330641,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
15,A1117,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 7 grade","의료최고도 count 3-6, 의사1(전문의수50%미만)·간호7등급",Procedure,0.21886766,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.289912581,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.21886766,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
16,A1118,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 8 grade","의료최고도 count 3-6, 의사1(전문의수50%미만)·간호8등급",Procedure,0.219753191,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.291428536,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.219753191,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
17,A1130,"Medical care profound count 3-6, doctor 3· nursing 5 grade","의료최고도 count 3-6, 의사3·간호5등급",Procedure,0.224894017,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.286176056,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.224894017,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
18,A1131,"Medical care profound count 3-6, doctor 3· nursing 1 grade","의료최고도 count 3-6, 의사3·간호1등급",Procedure,0.226169214,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.288389206,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.226169214,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
19,A1132,"Medical care profound count 3-6, doctor 3· nursing 2 grade","의료최고도 count 3-6, 의사3·간호2등급",Procedure,0.22448656,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.285472393,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.22448656,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
20,A1133,"Medical care profound count 3-6, doctor 3· nursing 3 grade","의료최고도 count 3-6, 의사3·간호3등급",Procedure,0.222634852,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.28225711,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.222634852,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
21,A1134,"Medical care profound count 3-6, doctor 3· nursing 4 grade","의료최고도 count 3-6, 의사3·간호4등급",Procedure,0.221588299,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.280470669,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.221588299,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
22,A1136,"Medical care profound count 3-6, doctor 3· nursing 6 grade","의료최고도 count 3-6, 의사3·간호6등급",Procedure,0.221424684,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.280144781,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.221424684,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
23,A1137,"Medical care profound count 3-6, doctor 3· nursing 7 grade","의료최고도 count 3-6, 의사3·간호7등급",Procedure,0.219311386,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.276426673,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.219311386,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
24,A1138,"Medical care profound count 3-6, doctor 3· nursing 8 grade","의료최고도 count 3-6, 의사3·간호8등급",Procedure,0.220588312,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.278767288,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.220588312,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
25,A1140,"Medical care profound count 3-6, doctor 4· nursing 5 grade","의료최고도 count 3-6, 의사4·간호5등급",Procedure,0.224106625,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.284972757,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.224106625,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
26,A1141,"Medical care profound count 3-6, doctor 4· nursing 1 grade","의료최고도 count 3-6, 의사4·간호1등급",Procedure,0.22536841,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.287157923,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.22536841,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
27,A1142,"Medical care profound count 3-6, doctor 4· nursing 2 grade","의료최고도 count 3-6, 의사4·간호2등급",Procedure,0.223703429,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.284277916,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.223703429,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
28,A1143,"Medical care profound count 3-6, doctor 4· nursing 3 grade","의료최고도 count 3-6, 의사4·간호3등급",Procedure,0.221870869,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.281102389,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.221870869,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
29,A1144,"Medical care profound count 3-6, doctor 4· nursing 4 grade","의료최고도 count 3-6, 의사4·간호4등급",Procedure,0.221345037,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.280201823,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.221345037,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
30,A1146,"Medical care profound count 3-6, doctor 4· nursing 6 grade","의료최고도 count 3-6, 의사4·간호6등급",Procedure,0.220673054,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.27901569,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.220673054,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
31,A1147,"Medical care profound count 3-6, doctor 4· nursing 7 grade","의료최고도 count 3-6, 의사4·간호7등급",Procedure,0.218581006,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.275341779,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.218581006,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
32,A1148,"Medical care profound count 3-6, doctor 4· nursing 8 grade","의료최고도 count 3-6, 의사4·간호8등급",Procedure,0.219845146,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.277654707,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.219845146,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
33,A1150,"Medical care profound count 3-6, doctor 5· nursing 5 grade","의료최고도 count 3-6, 의사5·간호5등급",Procedure,0.225343049,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.287119687,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.225343049,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
34,A1151,"Medical care profound count 3-6, doctor 5· nursing 1 grade","의료최고도 count 3-6, 의사5·간호1등급",Procedure,0.22632575,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.288832933,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.22632575,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
35,A1152,"Medical care profound count 3-6, doctor 5· nursing 2 grade","의료최고도 count 3-6, 의사5·간호2등급",Procedure,0.224639624,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.285902768,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.224639624,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
36,A1153,"Medical care profound count 3-6, doctor 5· nursing 3 grade","의료최고도 count 3-6, 의사5·간호3등급",Procedure,0.222784162,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.282673091,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.222784162,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
37,A1154,"Medical care profound count 3-6, doctor 5· nursing 4 grade","의료최고도 count 3-6, 의사5·간호4등급",Procedure,0.221735507,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.280878782,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.221735507,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
38,A1156,"Medical care profound count 3-6, doctor 5· nursing 6 grade","의료최고도 count 3-6, 의사5·간호6등급",Procedure,0.221571565,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.280551463,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.221571565,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
39,A1157,"Medical care profound count 3-6, doctor 5· nursing 7 grade","의료최고도 count 3-6, 의사5·간호7등급",Procedure,0.219454095,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.276817381,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.219454095,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
40,A1158,"Medical care profound count 3-6, doctor 5· nursing 8 grade","의료최고도 count 3-6, 의사5·간호8등급",Procedure,0.220733538,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.27916801,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.220733538,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
41,A1190,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 5 grade","의료최고도 count 3-6, 의사1(전문의수50%이상)·간호5등급",Procedure,0.22570087,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.308776289,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.22570087,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
42,A1191,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 1 grade","의료최고도 count 3-6, 의사1(전문의수50%이상)·간호1등급",Procedure,0.227070436,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.311058223,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.227070436,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
43,A1192,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 2 grade","의료최고도 count 3-6, 의사1(전문의수50%이상)·간호2등급",Procedure,0.225199386,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.307943761,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.225199386,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
44,A1193,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 3 grade","의료최고도 count 3-6, 의사1(전문의수50%이상)·간호3등급",Procedure,0.223870039,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.305715442,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.223870039,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
45,A1194,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 4 grade","의료최고도 count 3-6, 의사1(전문의수50%이상)·간호4등급",Procedure,0.22311455,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.304465592,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.22311455,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
46,A1196,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 6 grade","의료최고도 count 3-6, 의사1(전문의수50%이상)·간호6등급",Procedure,0.22299616,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.30423668,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.22299616,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
47,A1197,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 7 grade","의료최고도 count 3-6, 의사1(전문의수50%이상)·간호7등급",Procedure,0.221460432,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.301604986,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.221460432,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
48,A1198,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 8 grade","의료최고도 count 3-6, 의사1(전문의수50%이상)·간호8등급",Procedure,0.222389847,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.303265989,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.222389847,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
49,A1200,"Medical care profound count 1-2, doctor 2· nursing 5 grade","의료최고도 count 1-2, 의사2·간호5등급",Procedure,0.231507525,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.299564809,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.231507525,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
50,A1201,"Medical care profound count 1-2, doctor 2· nursing 1 grade","의료최고도 count 1-2, 의사2·간호1등급",Procedure,0.23303476,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.302353501,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.23303476,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
51,A1202,"Medical care profound count 1-2, doctor 2· nursing 2 grade","의료최고도 count 1-2, 의사2·간호2등급",Procedure,0.231286705,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.299162149,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.231286705,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
52,A1203,"Medical care profound count 1-2, doctor 2· nursing 3 grade","의료최고도 count 1-2, 의사2·간호3등급",Procedure,0.22862342,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.271064788,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.22862342,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
53,A1204,"Medical care profound count 1-2, doctor 2· nursing 4 grade","의료최고도 count 1-2, 의사2·간호4등급",Procedure,0.227906227,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.293039143,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.227906227,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
54,A1206,"Medical care profound count 1-2, doctor 2· nursing 6 grade","의료최고도 count 1-2, 의사2·간호6등급",Procedure,0.227728218,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.292667538,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.227728218,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
55,A1207,"Medical care profound count 1-2, doctor 2· nursing 7 grade","의료최고도 count 1-2, 의사2·간호7등급",Procedure,0.225431144,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.288435847,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.225431144,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
56,A1208,"Medical care profound count 1-2, doctor 2· nursing 8 grade","의료최고도 count 1-2, 의사2·간호8등급",Procedure,0.226818666,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.291097999,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.226818666,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
57,A1210,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 5 grade","의료최고도 count 1-2, 의사1(전문의수50%미만)·간호5등급",Procedure,0.227138355,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.304321259,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.227138355,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
58,A1211,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 1 grade","의료최고도 count 1-2, 의사1(전문의수50%미만)·간호1등급",Procedure,0.228516489,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.306567043,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.228516489,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
