source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A1100,42364257,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 5 grade; 의료최고도 count 3-6, 의사2·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1113,42360915,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 3 grade; 의료최고도 count 3-6, 의사1(전문의수50%미만)·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1114,42360917,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 4 grade; 의료최고도 count 3-6, 의사1(전문의수50%미만)·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1116,42365472,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 6 grade; 의료최고도 count 3-6, 의사1(전문의수50%미만)·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1117,42365953,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 7 grade; 의료최고도 count 3-6, 의사1(전문의수50%미만)·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1118,42365847,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 8 grade; 의료최고도 count 3-6, 의사1(전문의수50%미만)·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1130,42363224,Korean EDI,"Medical care profound count 3-6, doctor 3· nursing 5 grade; 의료최고도 count 3-6, 의사3·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1131,42365009,Korean EDI,"Medical care profound count 3-6, doctor 3· nursing 1 grade; 의료최고도 count 3-6, 의사3·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1132,42365017,Korean EDI,"Medical care profound count 3-6, doctor 3· nursing 2 grade; 의료최고도 count 3-6, 의사3·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1133,42363215,Korean EDI,"Medical care profound count 3-6, doctor 3· nursing 3 grade; 의료최고도 count 3-6, 의사3·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1134,42363222,Korean EDI,"Medical care profound count 3-6, doctor 3· nursing 4 grade; 의료최고도 count 3-6, 의사3·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1136,42361091,Korean EDI,"Medical care profound count 3-6, doctor 3· nursing 6 grade; 의료최고도 count 3-6, 의사3·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1137,42365520,Korean EDI,"Medical care profound count 3-6, doctor 3· nursing 7 grade; 의료최고도 count 3-6, 의사3·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1138,42364935,Korean EDI,"Medical care profound count 3-6, doctor 3· nursing 8 grade; 의료최고도 count 3-6, 의사3·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1140,42363283,Korean EDI,"Medical care profound count 3-6, doctor 4· nursing 5 grade; 의료최고도 count 3-6, 의사4·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1141,42361118,Korean EDI,"Medical care profound count 3-6, doctor 4· nursing 1 grade; 의료최고도 count 3-6, 의사4·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1142,42363265,Korean EDI,"Medical care profound count 3-6, doctor 4· nursing 2 grade; 의료최고도 count 3-6, 의사4·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1143,42365433,Korean EDI,"Medical care profound count 3-6, doctor 4· nursing 3 grade; 의료최고도 count 3-6, 의사4·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1144,42358013,Korean EDI,"Medical care profound count 3-6, doctor 4· nursing 4 grade; 의료최고도 count 3-6, 의사4·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1146,42364007,Korean EDI,"Medical care profound count 3-6, doctor 4· nursing 6 grade; 의료최고도 count 3-6, 의사4·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1147,42361155,Korean EDI,"Medical care profound count 3-6, doctor 4· nursing 7 grade; 의료최고도 count 3-6, 의사4·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1148,42361162,Korean EDI,"Medical care profound count 3-6, doctor 4· nursing 8 grade; 의료최고도 count 3-6, 의사4·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1150,42361190,Korean EDI,"Medical care profound count 3-6, doctor 5· nursing 5 grade; 의료최고도 count 3-6, 의사5·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1151,42358050,Korean EDI,"Medical care profound count 3-6, doctor 5· nursing 1 grade; 의료최고도 count 3-6, 의사5·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1152,42365479,Korean EDI,"Medical care profound count 3-6, doctor 5· nursing 2 grade; 의료최고도 count 3-6, 의사5·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1153,42360119,Korean EDI,"Medical care profound count 3-6, doctor 5· nursing 3 grade; 의료최고도 count 3-6, 의사5·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1154,42361189,Korean EDI,"Medical care profound count 3-6, doctor 5· nursing 4 grade; 의료최고도 count 3-6, 의사5·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1156,42361195,Korean EDI,"Medical care profound count 3-6, doctor 5· nursing 6 grade; 의료최고도 count 3-6, 의사5·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1157,42365152,Korean EDI,"Medical care profound count 3-6, doctor 5· nursing 7 grade; 의료최고도 count 3-6, 의사5·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1158,42361214,Korean EDI,"Medical care profound count 3-6, doctor 5· nursing 8 grade; 의료최고도 count 3-6, 의사5·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1190,42365999,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 5 grade; 의료최고도 count 3-6, 의사1(전문의수50%이상)·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1191,42360956,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 1 grade; 의료최고도 count 3-6, 의사1(전문의수50%이상)·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1192,42359908,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 2 grade; 의료최고도 count 3-6, 의사1(전문의수50%이상)·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1193,42360969,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 3 grade; 의료최고도 count 3-6, 의사1(전문의수50%이상)·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1194,42359911,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 4 grade; 의료최고도 count 3-6, 의사1(전문의수50%이상)·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1196,42366186,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 6 grade; 의료최고도 count 3-6, 의사1(전문의수50%이상)·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1197,42360992,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 7 grade; 의료최고도 count 3-6, 의사1(전문의수50%이상)·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1198,42361003,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 8 grade; 의료최고도 count 3-6, 의사1(전문의수50%이상)·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1200,42360710,Korean EDI,"Medical care profound count 1-2, doctor 2· nursing 5 grade; 의료최고도 count 1-2, 의사2·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1201,42360688,Korean EDI,"Medical care profound count 1-2, doctor 2· nursing 1 grade; 의료최고도 count 1-2, 의사2·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1202,42360695,Korean EDI,"Medical care profound count 1-2, doctor 2· nursing 2 grade; 의료최고도 count 1-2, 의사2·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1203,42359647,Korean EDI,"Medical care profound count 1-2, doctor 2· nursing 3 grade; 의료최고도 count 1-2, 의사2·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1204,42360703,Korean EDI,"Medical care profound count 1-2, doctor 2· nursing 4 grade; 의료최고도 count 1-2, 의사2·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1206,42360715,Korean EDI,"Medical care profound count 1-2, doctor 2· nursing 6 grade; 의료최고도 count 1-2, 의사2·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1207,42360723,Korean EDI,"Medical care profound count 1-2, doctor 2· nursing 7 grade; 의료최고도 count 1-2, 의사2·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1208,42357630,Korean EDI,"Medical care profound count 1-2, doctor 2· nursing 8 grade; 의료최고도 count 1-2, 의사2·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1210,42360601,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 5 grade; 의료최고도 count 1-2, 의사1(전문의수50%미만)·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1211,42360582,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 1 grade; 의료최고도 count 1-2, 의사1(전문의수50%미만)·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1212,42365599,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 2 grade; 의료최고도 count 1-2, 의사1(전문의수50%미만)·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1213,42360590,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 3 grade; 의료최고도 count 1-2, 의사1(전문의수50%미만)·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1214,42362738,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 4 grade; 의료최고도 count 1-2, 의사1(전문의수50%미만)·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1216,42360603,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 6 grade; 의료최고도 count 1-2, 의사1(전문의수50%미만)·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1217,42360616,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 7 grade; 의료최고도 count 1-2, 의사1(전문의수50%미만)·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1218,42360625,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 8 grade; 의료최고도 count 1-2, 의사1(전문의수50%미만)·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1230,42357661,Korean EDI,"Medical care profound count 1-2, doctor 3· nursing 5 grade; 의료최고도 count 1-2, 의사3·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1231,42360742,Korean EDI,"Medical care profound count 1-2, doctor 3· nursing 1 grade; 의료최고도 count 1-2, 의사3·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1232,42360747,Korean EDI,"Medical care profound count 1-2, doctor 3· nursing 2 grade; 의료최고도 count 1-2, 의사3·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1233,42360753,Korean EDI,"Medical care profound count 1-2, doctor 3· nursing 3 grade; 의료최고도 count 1-2, 의사3·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1234,42363976,Korean EDI,"Medical care profound count 1-2, doctor 3· nursing 4 grade; 의료최고도 count 1-2, 의사3·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1236,42360766,Korean EDI,"Medical care profound count 1-2, doctor 3· nursing 6 grade; 의료최고도 count 1-2, 의사3·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1237,42360780,Korean EDI,"Medical care profound count 1-2, doctor 3· nursing 7 grade; 의료최고도 count 1-2, 의사3·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1238,42360786,Korean EDI,"Medical care profound count 1-2, doctor 3· nursing 8 grade; 의료최고도 count 1-2, 의사3·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1240,42360819,Korean EDI,"Medical care profound count 1-2, doctor 4· nursing 5 grade; 의료최고도 count 1-2, 의사4·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1241,42360799,Korean EDI,"Medical care profound count 1-2, doctor 4· nursing 1 grade; 의료최고도 count 1-2, 의사4·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1242,42360803,Korean EDI,"Medical care profound count 1-2, doctor 4· nursing 2 grade; 의료최고도 count 1-2, 의사4·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1243,42360809,Korean EDI,"Medical care profound count 1-2, doctor 4· nursing 3 grade; 의료최고도 count 1-2, 의사4·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1244,42360814,Korean EDI,"Medical care profound count 1-2, doctor 4· nursing 4 grade; 의료최고도 count 1-2, 의사4·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1246,42360821,Korean EDI,"Medical care profound count 1-2, doctor 4· nursing 6 grade; 의료최고도 count 1-2, 의사4·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1247,42360831,Korean EDI,"Medical care profound count 1-2, doctor 4· nursing 7 grade; 의료최고도 count 1-2, 의사4·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1248,42366054,Korean EDI,"Medical care profound count 1-2, doctor 4· nursing 8 grade; 의료최고도 count 1-2, 의사4·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1250,42360869,Korean EDI,"Medical care profound count 1-2, doctor 5· nursing 5 grade; 의료최고도 count 1-2, 의사5·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1251,42359795,Korean EDI,"Medical care profound count 1-2, doctor 5· nursing 1 grade; 의료최고도 count 1-2, 의사5·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1252,42365038,Korean EDI,"Medical care profound count 1-2, doctor 5· nursing 2 grade; 의료최고도 count 1-2, 의사5·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1253,42363722,Korean EDI,"Medical care profound count 1-2, doctor 5· nursing 3 grade; 의료최고도 count 1-2, 의사5·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1254,42359812,Korean EDI,"Medical care profound count 1-2, doctor 5· nursing 4 grade; 의료최고도 count 1-2, 의사5·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1256,42359820,Korean EDI,"Medical care profound count 1-2, doctor 5· nursing 6 grade; 의료최고도 count 1-2, 의사5·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1257,42365183,Korean EDI,"Medical care profound count 1-2, doctor 5· nursing 7 grade; 의료최고도 count 1-2, 의사5·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1258,42357774,Korean EDI,"Medical care profound count 1-2, doctor 5· nursing 8 grade; 의료최고도 count 1-2, 의사5·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1290,42366372,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist 50% or more)· nursing 5 grade; 의료최고도 count 1-2, 의사1(전문의수50%이상)·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1291,42363853,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist 50% or more)· nursing 1 grade; 의료최고도 count 1-2, 의사1(전문의수50%이상)·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1292,42362784,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist 50% or more)· nursing 2 grade; 의료최고도 count 1-2, 의사1(전문의수50%이상)·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1293,42360644,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist 50% or more)· nursing 3 grade; 의료최고도 count 1-2, 의사1(전문의수50%이상)·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1294,42360646,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist 50% or more)· nursing 4 grade; 의료최고도 count 1-2, 의사1(전문의수50%이상)·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1296,42357570,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist 50% or more)· nursing 6 grade; 의료최고도 count 1-2, 의사1(전문의수50%이상)·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1297,42360670,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist 50% or more)· nursing 7 grade; 의료최고도 count 1-2, 의사1(전문의수50%이상)·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1298,42360677,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist 50% or more)· nursing 8 grade; 의료최고도 count 1-2, 의사1(전문의수50%이상)·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1500,42365668,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 1-5 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사2·간호1-5등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1506,42361045,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 6 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사2·간호6등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1507,42364634,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 7 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사2·간호7등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1510,42357779,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 1-5 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사1(전문의수50%미만)·간호1-5등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1516,42360934,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 6 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사1(전문의수50%미만)·간호6등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1517,42360941,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 7 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사1(전문의수50%미만)·간호7등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1530,42361064,Korean EDI,"Medical care profound count 3-6, doctor 3· nursing 1-5 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사3·간호1-5등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1536,42361092,Korean EDI,"Medical care profound count 3-6, doctor 3· nursing 6 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사3·간호6등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1537,42365051,Korean EDI,"Medical care profound count 3-6, doctor 3· nursing 7 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사3·간호7등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1540,42365058,Korean EDI,"Medical care profound count 3-6, doctor 4· nursing 1-5 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사4·간호1-5등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1546,42364012,Korean EDI,"Medical care profound count 3-6, doctor 4· nursing 6 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사4·간호6등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1547,42364261,Korean EDI,"Medical care profound count 3-6, doctor 4· nursing 7 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사4·간호7등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1550,42362954,Korean EDI,"Medical care profound count 3-6, doctor 5· nursing 1-5 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사5·간호1-5등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1556,42360136,Korean EDI,"Medical care profound count 3-6, doctor 5· nursing 6 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사5·간호6등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1557,42364433,Korean EDI,"Medical care profound count 3-6, doctor 5· nursing 7 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사5·간호7등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1590,42359897,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 1-5 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사1(전문의수50%이상)·간호1-5등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1596,42360988,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 6 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사1(전문의수50%이상)·간호6등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1597,42359936,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist 50% or more)· nursing 7 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 3-6, 의사1(전문의수50%이상)·간호7등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1600,42360684,Korean EDI,"Medical care profound count 1-2, doctor 2· nursing 1-5 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 1-2, 의사2·간호1-5등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1606,42359669,Korean EDI,"Medical care profound count 1-2, doctor 2· nursing 6 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 1-2, 의사2·간호6등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1607,42360727,Korean EDI,"Medical care profound count 1-2, doctor 2· nursing 7 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 1-2, 의사2·간호7등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1610,42360578,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 1-5 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 1-2, 의사1(전문의수50%미만)·간호1-5등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1616,42360609,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 6 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 1-2, 의사1(전문의수50%미만)·간호6등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1617,42360619,Korean EDI,"Medical care profound count 1-2, doctor 1 (number of specialist less than 50%)· nursing 7 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 1-2, 의사1(전문의수50%미만)·간호7등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1630,42357636,Korean EDI,"Medical care profound count 1-2, doctor 3· nursing 1-5 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 1-2, 의사3·간호1-5등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1636,42360772,Korean EDI,"Medical care profound count 1-2, doctor 3· nursing 6 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 1-2, 의사3·간호6등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1637,42364000,Korean EDI,"Medical care profound count 1-2, doctor 3· nursing 7 grade, Ratio of number of patient vs number of nurse 18: 1 Excess; 의료최고도 count 1-2, 의사3·간호7등급 환자수대간호사수비18:1초과",4154551,SNOMED,1970-01-01,2099-12-31,NA
