"SOURCE_CODE","SOURCE_CONCEPT_ID","SOURCE_VOCABULARY_ID","SOURCE_CODE_DESCRIPTION","TARGET_CONCEPT_ID","TARGET_VOCABULARY_ID","VALID_START_DATE","VALID_END_DATE","INVALID_REASON"
NA,NA,"EDI","Aspartate aminotransferase.macromolecular [Enzymatic activity/volume] in Serum or Plasma; NA",3052577,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Base excess in Capillary blood by calculation; NA",3003129,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Beta+gamma tocopherol [Mass/volume] in Serum or Plasma; NA",3005244,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Blood chemistry; NA",4014134,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Body height; NA",3036277,"LOINC",1996-09-06,2099-12-31,NA
NA,NA,"EDI","Body mass index; NA",3038553,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Body weight; NA",3025315,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Buprenorphine [Mass/volume] in Urine; NA",3006302,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Cannabinoids [Presence] in Urine by Screen method; NA",3006932,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Carbon dioxide, total [Moles/volume] in Serum, Plasma or Blood; NA",46235079,"LOINC",2015-05-08,2099-12-31,NA
NA,NA,"EDI","Cholesterol in VLDL [Mass/volume] in Serum or Plasma by calculation; NA",3009596,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Cholesterol in VLDL [Moles/volume] in Serum or Plasma; NA",3022487,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Cobalamin (Vitamin B12).unsaturated Binding Capacity [Mass/volume] in Serum or Plasma; NA",3025222,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Cocaine [Presence] in Urine; NA",3016879,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Codeine [Mass/volume] in Urine by Confirmatory method; NA",3009583,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Complement C1 esterase inhibitor [Mass/volume] in Serum or Plasma; NA",3003245,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Complement C1 esterase inhibitor.functional/Complement C1 esterase inhibitor.total in Serum or Plasma; NA",3023659,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Cotinine [Mass/volume] in Serum or Plasma; NA",3006028,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Cotinine [Mass/volume] in Urine; NA",3025911,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Creatine kinase [Enzymatic activity/volume] in Serum or Plasma; NA",3007220,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Decanoylcarnitine (C10) [Moles/volume] in Serum or Plasma; NA",3017126,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Decenoylcarnitine (C10:1) [Moles/volume] in Serum or Plasma; NA",3017721,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma; NA",3022000,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Dehydroepiandrosterone (DHEA).unconjugated [Mass/volume] in Serum or Plasma; NA",3003603,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Diastolic blood pressure; NA",4154790,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Docosahexaenoate (C22:6w3) [Moles/volume] in Serum or Plasma; NA",3032884,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Docosapentaenate (C22:5w3) [Moles/volume] in Serum or Plasma; NA",3031445,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Docosapentaenate (C22:5w6) [Moles/volume] in Serum or Plasma; NA",3031462,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Docosatetraenoate (C22:4w6) [Moles/volume] in Serum or Plasma; NA",3030841,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Docosenoate (C22:1) [Moles/volume] in Serum or Plasma; NA",3031135,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Dodecanoylcarnitine (C12) [Moles/volume] in Serum or Plasma; NA",3013947,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Dodecenoylcarnitine (C12:1) [Moles/volume] in Serum or Plasma; NA",3012598,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Eicosapentaenoate (C20:5w3) [Moles/volume] in Serum or Plasma; NA",3032660,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Elastase.pancreatic [Mass/mass] in Stool; NA",3000570,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Enzyme measurement; NA",4046263,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Enzyme/specific protein level measurement; NA",4155236,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Eosinophil cationic protein (ECP) [Mass/volume] in Serum; NA",3005791,"LOINC",2000-07-11,2099-12-31,NA
NA,NA,"EDI","Erythrocyte mean corpuscular hemoglobin [Entitic mass] by Automated count; NA",3012030,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume] by Automated count; NA",3009744,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Fatty acids [Moles/volume] in Serum or Plasma; NA",3016103,"LOINC",2000-03-23,2099-12-31,NA
NA,NA,"EDI","Gabapentin serum/plasma; NA",3013412,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Gamma Linolenate (C18:3w6) [Moles/volume] in Serum or Plasma; NA",3031167,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Gliadin peptide IgA Ab [Units/volume] in Serum by Immunoassay; NA",40766183,"LOINC",2011-02-14,2099-12-31,NA
NA,NA,"EDI","Glucose [Mass/volume] in 24 hour Urine; NA",3007034,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Glucose [Presence] in Urine by Test strip; NA",3009261,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Glucose measurement, urine; NA",4149883,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Glucose measurement; NA",4149519,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Glutarylcarnitine (C5-DC) [Moles/volume] in Serum or Plasma; NA",3028150,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Haemophilus influenzae B IgG Ab [Mass/volume] in Serum; NA",3013281,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Hematology procedure; NA",4141733,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Hematology screening test; NA",4198132,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Hematology test; NA",4090979,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Hexadecenoate (C16:1w9) [Moles/volume] in Serum or Plasma; NA",3032380,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Hexanoylcarnitine (C6) [Moles/volume] in Serum or Plasma; NA",3011508,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Histoplasma capsulatum Ag [Mass/volume] in Urine; NA",3048918,"LOINC",2007-04-19,2099-12-31,NA
NA,NA,"EDI","Homocysteine [Mass/volume] in Serum or Plasma; NA",3037585,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Homocysteine [Moles/volume] in Serum or Plasma; NA",3016724,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Homo-gamma Linolenate (C20:3w6) [Moles/volume] in Serum or Plasma; NA",3032635,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","How many cigarettes do you smoke per day now [PhenX]; NA",40766929,"LOINC",2011-04-13,2099-12-31,NA
NA,NA,"EDI","Human immunodeficiency virus test; NA",4013104,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Hydrocodone [Mass/volume] in Urine by Confirmatory method; NA",3015603,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Hydroxyproline [Moles/volume] in Serum or Plasma; NA",3017264,"LOINC",1999-07-21,2099-12-31,NA
NA,NA,"EDI","Immunology laboratory test; NA",4098179,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Indirect bilirubin serum/plasma; NA",3007359,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Isovalerylcarnitine+Methylbutyrylcarnitine (C5) [Moles/volume] in Serum or Plasma; NA",3023211,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Laboratory test; NA",4034850,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Lacosamide [Mass/volume] in Serum or Plasma; NA",40762388,"LOINC",2010-04-07,2099-12-31,NA
NA,NA,"EDI","Laurate (C12:0) [Moles/volume] in Serum or Plasma; NA",3031477,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Leukocytes [#/volume] in Blood by Automated count; NA",3000905,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Linoleate (C18:2w6) [Moles/volume] in Serum or Plasma; NA",3031194,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Linoleoylcarnitine (C18:2) [Moles/volume] in Serum or Plasma; NA",3003816,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Lysozyme [Mass/volume] in Serum or Plasma; NA",3012110,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","MCHC; NA",3003338,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Mead acid (C20:3w9) [Moles/volume] in Serum or Plasma; NA",3032643,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Measurement of liver enzyme; NA",4155237,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Measurement of substance; NA",4326835,"SNOMED",2009-01-31,2099-12-31,NA
NA,NA,"EDI","Methadone [Presence] in Urine; NA",3036180,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Methamphetamine [Mass/volume] in Urine; NA",3023083,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Methylenedioxyethylamphetamine [Mass/volume] in Urine; NA",3017205,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Methylenedioxymethamphetamine [Mass/volume] in Urine; NA",3020725,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Morphine [Mass/volume] in Urine by Confirmatory method; NA",3010119,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Mullerian inhibiting substance [Mass/volume] in Serum or Plasma; NA",3047826,"LOINC",2004-10-20,2099-12-31,NA
NA,NA,"EDI","Myristate (C14:0) [Moles/volume] in Serum or Plasma; NA",3032613,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Nervonate (C24:1) [Moles/volume] in Serum or Plasma; NA",3032623,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Nicotine [Mass/volume] in Serum or Plasma; NA",3009178,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Nicotine [Mass/volume] in Urine; NA",3014404,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Norbuprenorphine [Mass/volume] in Urine; NA",3030384,"LOINC",2007-08-10,2099-12-31,NA
NA,NA,"EDI","Norhydrocodone [Mass/volume] in Urine by Confirmatory method; NA",40764183,"LOINC",2010-10-27,2099-12-31,NA
NA,NA,"EDI","Noroxycodone [Mass/volume] in Urine by Confirmatory method; NA",40764186,"LOINC",2010-10-27,2099-12-31,NA
NA,NA,"EDI","Octadecanoate (C18:0) [Moles/volume] in Serum or Plasma; NA",3031148,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Octanoylcarnitine (C8) [Moles/volume] in Serum or Plasma; NA",3003480,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Octenoylcarnitine (C8:1) [Moles/volume] in Serum or Plasma; NA",3002299,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Oleate (C18:1w9) [Moles/volume] in Serum or Plasma; NA",3031429,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Oleoylcarnitine (C18:1) [Moles/volume] in Serum or Plasma; NA",3002051,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Omega 3 fatty acids (w3) [Moles/volume] in Serum or Plasma; NA",3032325,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Omega 6 fatty acids (w6) [Moles/volume] in Serum or Plasma; NA",3032337,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Opiates [Presence] in Urine; NA",3027008,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Oxycodone [Mass/volume] in Urine by Confirmatory method; NA",3005190,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Oxymorphone [Mass/volume] in Urine by Confirmatory method; NA",3014535,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Palmitate (C16:0) [Moles/volume] in Serum or Plasma; NA",3031146,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Palmitoleate (C16:1w7) [Moles/volume] in Serum or Plasma; NA",3031157,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Palmitoleylcarnitine (C16:1) [Moles/volume] in Serum or Plasma; NA",3010966,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Palmitoylcarnitine (C16) [Moles/volume] in Serum or Plasma; NA",3024674,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Pancreatic polypeptide [Mass/volume] in Serum or Plasma; NA",3023589,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Parathyrin related protein [Mass/volume] in Serum or Plasma; NA",3037534,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Parathyrin related protein [Moles/volume] in Serum or Plasma; NA",3033670,"LOINC",1998-02-06,2099-12-31,NA
NA,NA,"EDI","Plasma pregnancy associated plasma protein A multiple of median measurement; NA",44807246,"SNOMED",2014-04-01,2099-12-31,NA
NA,NA,"EDI","Platelet mean volume [Entitic volume] in Blood by Automated count; NA",3043111,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Platelet mean volume [Entitic volume] in Blood; NA",3001123,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Propionylcarnitine (C3) [Moles/volume] in Serum or Plasma; NA",3038126,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Prothrombin time (PT) in Blood by Coagulation assay; NA",3002417,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Pulse rate; NA",4301868,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Rheumatoid factor measurement; NA",4204380,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Serum angiotensin I and II measurement; NA",4153004,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Service comment; NA",3004691,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Sex hormone binding globulin [Mass/volume] in Serum or Plasma; NA",3011099,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Sex hormone binding globulin [Moles/volume] in Serum or Plasma; NA",3004248,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Size [Entitic volume] of Stone; NA",3014188,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Soluble liver IgG Ab [Units/volume] in Serum by Immunoassay; NA",3050254,"LOINC",2004-09-23,2099-12-31,NA
NA,NA,"EDI","Stearoylcarnitine (C18) [Moles/volume] in Serum or Plasma; NA",3013347,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 1 IgG Ab [Mass/volume] in Serum; NA",36203821,"LOINC",2017-06-23,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 12F IgG Ab [Mass/volume] in Serum; NA",36203231,"LOINC",2017-06-23,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 14 IgG Ab [Mass/volume] in Serum; NA",36203922,"LOINC",2017-06-23,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 15B IgG Ab [Mass/volume] in Serum; NA",3042065,"LOINC",2005-05-06,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 18C IgG Ab [Mass/volume] in Serum; NA",3006665,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 19A IgG Ab [Mass/volume] in Serum; NA",3044549,"LOINC",2005-05-06,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 19F IgG Ab [Mass/volume] in Serum; NA",36204005,"LOINC",2017-06-23,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 23F IgG Ab [Mass/volume] in Serum; NA",36204094,"LOINC",2017-06-23,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 3 IgG Ab [Mass/volume] in Serum; NA",36204110,"LOINC",2017-06-23,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 33F IgG Ab [Mass/volume] in Serum; NA",3038232,"LOINC",2005-05-06,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 4 IgG Ab [Mass/volume] in Serum; NA",36204187,"LOINC",2017-06-23,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 5 IgG Ab [Mass/volume] in Serum; NA",36204286,"LOINC",2017-06-23,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 6B IgG Ab [Mass/volume] in Serum; NA",3005665,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 7F IgG Ab [Mass/volume] in Serum; NA",3000899,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 8 IgG Ab [Mass/volume] in Serum; NA",36204351,"LOINC",2017-06-23,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 9N IgG Ab [Mass/volume] in Serum; NA",36204373,"LOINC",2017-06-23,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae Danish serotype 9V IgG Ab [Mass/volume] in Serum; NA",3005260,"LOINC",2001-08-31,2099-12-31,NA
NA,NA,"EDI","Streptococcus pneumoniae serotype IgG Ab [Interpretation] in Serum Narrative; NA",3035282,"LOINC",2005-10-20,2099-12-31,NA
NA,NA,"EDI","Systolic blood pressure; NA",4152194,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Tetradecadienoylcarnitine (C14:2) [Moles/volume] in Serum or Plasma; NA",3018590,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Tetradecanoylcarnitine (C14) [Moles/volume] in Serum or Plasma; NA",3014524,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Tetradecenoylcarnitine (C14:1) [Moles/volume] in Serum or Plasma; NA",3005018,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Tetrahydrocannabinol [Mass/volume] in Urine by Confirmatory method; NA",3014290,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Thyroid stimulating immunoglobulins [Units/volume] in Serum; NA",3007498,"LOINC",2001-10-16,2099-12-31,NA
NA,NA,"EDI","Thyroid stimulating immunoglobulins actual/normal in Serum; NA",3036567,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Tissue transglutaminase IgA Ab [Units/volume] in Serum by Immunoassay; NA",3046538,"LOINC",2006-05-25,2099-12-31,NA
NA,NA,"EDI","Trans-3-Hydroxycotinine [Mass/volume] in Serum or Plasma; NA",3030595,"LOINC",2003-12-16,2099-12-31,NA
NA,NA,"EDI","Tryptase [Mass/volume] in Serum or Plasma; NA",3019420,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Tyrosine [Moles/volume] in Serum or Plasma; NA",3004955,"LOINC",1999-07-21,2099-12-31,NA
NA,NA,"EDI","Urine ratio; NA",4215539,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Urine sample volume measurement; NA",4196844,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Urobilinogen [Mass/volume] in Urine; NA",3007950,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Urobilinogen [Units/volume] in Urine by Test strip; NA",3006473,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Vaccenate (C18:1w7) [Moles/volume] in Serum or Plasma; NA",3031440,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Vascular cell adhesion molecule 1 [Mass/volume] in Serum or Plasma; NA",46235358,"LOINC",2015-06-29,2099-12-31,NA
NA,NA,"EDI","Vascular endothelial growth factor [Mass/volume] in Serum or Plasma; NA",3031767,"LOINC",2003-10-28,2099-12-31,NA
NA,NA,"EDI","Vasoactive intestinal peptide [Mass/volume] in Serum or Plasma; NA",3028054,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Voltage-gated calcium channel N type binding Ab [Moles/volume] in Serum; NA",3029197,"LOINC",2003-05-05,2099-12-31,NA
NA,NA,"EDI","Voltage-gated calcium channel P/Q type binding Ab [Moles/volume] in Serum; NA",3043147,"LOINC",2003-05-05,2099-12-31,NA
NA,NA,"EDI","Voltage-gated potassium channel Ab [Moles/volume] in Serum; NA",3031103,"LOINC",2005-07-14,2099-12-31,NA
NA,NA,"EDI","Volume in Urine collected for unspecified duration; NA",3004775,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Volume of 24 hour Urine; NA",3012565,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Volume of Urine; NA",3036603,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Weight of Stone; NA",3007527,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Weight of Unspecified specimen; NA",3001795,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","White Blood cell (WBC) count (leukocyte); NA",3010813,"LOINC",1970-01-01,2099-12-31,NA
"CB001006",42346586,"EDI","3-Hydroxydodecanoylcarnitine (C12-OH) [Moles/volume] in Serum or Plasma; 차세대염기서열분석 기반 유전자 패널검사-유전성 유전자검사-Level I, 진단검사의학과전문의 등 판독",3003809,"LOINC",1970-01-01,2099-12-31,NA
"CB001006",42346586,"EDI","3-Hydroxylinoleoylcarnitine (C18:2-OH) [Moles/volume] in Serum or Plasma; 차세대염기서열분석 기반 유전자 패널검사-유전성 유전자검사-Level I, 진단검사의학과전문의 등 판독",3036343,"LOINC",1970-01-01,2099-12-31,NA
"CB001006",42346586,"EDI","3-Hydroxyoleoylcarnitine (C18:1-OH) [Moles/volume] in Serum or Plasma; 차세대염기서열분석 기반 유전자 패널검사-유전성 유전자검사-Level I, 진단검사의학과전문의 등 판독",3003209,"LOINC",1970-01-01,2099-12-31,NA
"CB001006",42346586,"EDI","3-Hydroxypalmitoleylcarnitine (C16:1-OH) [Moles/volume] in Serum or Plasma; 차세대염기서열분석 기반 유전자 패널검사-유전성 유전자검사-Level I, 진단검사의학과전문의 등 판독",3001111,"LOINC",1970-01-01,2099-12-31,NA
