EDI_concept_code,제품명_x,규격,대분류군코드,대분류군명,대분류코드,대분류코드명,중분류코드,중분류명,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate
B0007001,SUTURE ETHILON(NYLON),7/0,B,봉합용 군,B0,봉합사 류,20031,NYLON (7/0-8/0),0.468524069,45758903,"Nylon suture, monofilament",SNOMED,Device,S,0,2,Physical Object,463862001,20150131,20991231
B0010021,US-1002LZN,10/0 DOUBLE NEEDLE,B,봉합용 군,B0,봉합사 류,20034,"NYLON (9/0-10/0,DOUBLE NEEDLE)",0.171793655,45758903,"Nylon suture, monofilament",SNOMED,Device,S,0,2,Physical Object,463862001,20150131,20991231
B0010022,MANI SUTURES,10/0 DOUBLE NEEDLE,B,봉합용 군,B0,봉합사 류,20034,"NYLON (9/0-10/0,DOUBLE NEEDLE)",0.704927146,45758903,"Nylon suture, monofilament",SNOMED,Device,S,0,2,Physical Object,463862001,20150131,20991231
B0011001,SUTURE MERSILK,1/0,B,봉합용 군,B0,봉합사 류,20020,SILK (1/0-2/0),0.675972581,45760330,"Silk suture, sterile",SNOMED,Device,S,0,2,Physical Object,465999003,20150131,20991231
B0011104,SILKAM,1/0 (NON NEEDLE),B,봉합용 군,B0,봉합사 류,20026,SILK (NON NEEDLE),0.386642605,45760330,"Silk suture, sterile",SNOMED,Device,S,0,2,Physical Object,465999003,20150131,20991231
B0011218,REXSIL,2/0 (NON NEEDLE),B,봉합용 군,B0,봉합사 류,20026,SILK (NON NEEDLE),0.530177116,45760330,"Silk suture, sterile",SNOMED,Device,S,0,2,Physical Object,465999003,20150131,20991231
B0011505,SOFSILK,5/0 (NON NEEDLE),B,봉합용 군,B0,봉합사 류,20026,SILK (NON NEEDLE),0.290454417,45760330,"Silk suture, sterile",SNOMED,Device,S,0,2,Physical Object,465999003,20150131,20991231
B0014002,SUTURE SILK,4/0,B,봉합용 군,B0,봉합사 류,20021,SILK (3/0-4/0),0.786040306,45760330,"Silk suture, sterile",SNOMED,Device,S,0,2,Physical Object,465999003,20150131,20991231
B0014004,SUTURE SILK BLACK,4/0,B,봉합용 군,B0,봉합사 류,20021,SILK (3/0-4/0),0.74124825,45760330,"Silk suture, sterile",SNOMED,Device,S,0,2,Physical Object,465999003,20150131,20991231
B0029101,ETHIBOND,1/0 DOUBLE NEEDLE,B,봉합용 군,B0,봉합사 류,20040,"POLYESTER (1/0-2/0,DOUBLE NEEDLE)",0.705646932,4105230,Polyester suture,SNOMED,Device,S,0,1,Physical Object,257395002,19700101,20991231
B0029201,SUTURE ETHIBOND,2/0 DOUBLE NEEDLE,B,봉합용 군,B0,봉합사 류,20040,"POLYESTER (1/0-2/0,DOUBLE NEEDLE)",0.882799685,4105230,Polyester suture,SNOMED,Device,S,0,1,Physical Object,257395002,19700101,20991231
B0029202,SUTURE POLYESTER,2/0 DOUBLE NEEDLE,B,봉합용 군,B0,봉합사 류,20040,"POLYESTER (1/0-2/0,DOUBLE NEEDLE)",0.917630255,4105230,Polyester suture,SNOMED,Device,S,0,1,Physical Object,257395002,19700101,20991231
B0029203,SUTURE TI-CRON,2/0 DOUBLE NEEDLE,B,봉합용 군,B0,봉합사 류,20040,"POLYESTER (1/0-2/0,DOUBLE NEEDLE)",0.564024746,4105230,Polyester suture,SNOMED,Device,S,0,1,Physical Object,257395002,19700101,20991231
B0031001,SUTURE PROLENE,1/0,B,봉합용 군,B0,봉합사 류,20045,POLYPROPYLENE (1/0-2/0),0.896164656,4262269,Sterile polypropylene monofilament suture,SNOMED,Device,S,0,1,Physical Object,356769008,19700101,20991231
B0034005,SURGIPRO,4/0,B,봉합용 군,B0,봉합사 류,20046,POLYPROPYLENE (3/0-4/0),0.350693196,4262269,Sterile polypropylene monofilament suture,SNOMED,Device,S,0,1,Physical Object,356769008,19700101,20991231
B0059403,VASCUFIL,4/0 DOUBLE NEEDLE,B,봉합용 군,B0,봉합사 류,20003,"POLYBUTESTER (3/0-4/0,DOUBLE NEEDLE)",0.482930392,45758464,Polybutester suture,SNOMED,Device,S,0,2,Physical Object,463182000,20150131,20991231
B0071001,MERSILK,1,B,봉합용 군,B0,봉합사 류,20019,SILK (1-2),0.639140606,45760330,"Silk suture, sterile",SNOMED,Device,S,0,2,Physical Object,465999003,20150131,20991231
B0082005,SUTURE TICRON,2,B,봉합용 군,B0,봉합사 류,20036,POLYESTER (1-2),0.753329039,4105230,Polyester suture,SNOMED,Device,S,0,1,Physical Object,257395002,19700101,20991231
B0089620,GORE-TEX SUTURE,6/0 DOUBLE,B,봉합용 군,B0,봉합사 류,20012,"POLYTETRAFLOROETHYLENE (5/0-6/0,DOUBLE NEEDLE)",0.502767026,45758786,Polytetrafluoroethylene suture,SNOMED,Device,S,0,3,Physical Object,463666000,20150131,20991231
B0501006,CATGUT,1/0,B,봉합용 군,B0,봉합사 류,20055,흡수성자연사 CATGUT (1/0-2/0),0.820243478,45761207,"Catgut suture, chromic",SNOMED,Device,S,0,2,Physical Object,467229003,20150131,20991231
B0502001,CHROMIC,2/0,B,봉합용 군,B0,봉합사 류,20055,흡수성자연사 CATGUT (1/0-2/0),0.636883616,45761207,"Catgut suture, chromic",SNOMED,Device,S,0,2,Physical Object,467229003,20150131,20991231
B0531014,MONOSYN,1,B,봉합용 군,B0,봉합사 류,20058,흡수성 합성사 (1-2),0.318529755,45772825,Synthetic bioabsorbable suture,SNOMED,Device,S,12,1,Physical Object,705657004,20150131,20991231
B0531044,NOVOSYN,1,B,봉합용 군,B0,봉합사 류,20058,흡수성 합성사 (1-2),0.227492496,45758977,Polyglactin suture,SNOMED,Device,S,0,2,Physical Object,463968001,20150131,20991231
B0532006,SURGIFIT,2,B,봉합용 군,B0,봉합사 류,20058,흡수성 합성사 (1-2),0.357627869,45758561,Polyglycolic acid suture,SNOMED,Device,S,0,2,Physical Object,463323001,20150131,20991231
B0532009,SURGISORB,2,B,봉합용 군,B0,봉합사 류,20058,흡수성 합성사 (1-2),0.36817959,45758561,Polyglycolic acid suture,SNOMED,Device,S,0,2,Physical Object,463323001,20150131,20991231
B0541015,MAXON,1/0,B,봉합용 군,B0,봉합사 류,20059,흡수성 합성사 (1/0-2/0),0.283037573,45759086,Polyglyconate suture,SNOMED,Device,S,0,2,Physical Object,464137007,20150131,20991231
B0541102,MONOCRYL,1/0,B,봉합용 군,B0,봉합사 류,20059,흡수성 합성사 (1/0-2/0),0.501457274,45759007,Poliglecaprone suture,SNOMED,Device,S,0,2,Physical Object,464012004,20150131,20991231
B0541125,GLSORB/MAXUTURE,1/0,B,봉합용 군,B0,봉합사 류,20059,흡수성 합성사 (1/0-2/0),0.205996066,45758977,Polyglactin suture,SNOMED,Device,S,0,2,Physical Object,463968001,20150131,20991231
B0542218,CRYLREX,2/0,B,봉합용 군,B0,봉합사 류,20059,흡수성 합성사 (1/0-2/0),0.537021637,45758977,Polyglactin suture,SNOMED,Device,S,0,2,Physical Object,463968001,20150131,20991231
B0543105,BIOSYN,3/0,B,봉합용 군,B0,봉합사 류,20060,흡수성 합성사 (3/0-4/0),0.289283097,45772825,Synthetic bioabsorbable suture,SNOMED,Device,S,12,1,Physical Object,705657004,20150131,20991231
B0941004,MONOPLUS LOOP,1/0,B,봉합용 군,B0,봉합사 류,20080,루프형 봉합사(1/0-2/0),0.578579485,45758967,Polydioxanone suture,SNOMED,Device,S,0,2,Physical Object,463956005,20150131,20991231
B1001001,AUTOSUTURE TA,전규격,B,봉합용 군,B1,자동봉합기 류,21018,LINEAR CARTRIDGE,0.702180624,45764255,"Surgical staple, non-bioabsorbable",SNOMED,Device,S,0,1,Physical Object,700889009,20150131,20991231
B1011001,AUTOSUTURE GIA,MEDIUM,B,봉합용 군,B1,자동봉합기 류,21020,LINEAR CUTTING CARTRIDGE-MEDIUM(2열),0.596949279,45764255,"Surgical staple, non-bioabsorbable",SNOMED,Device,S,0,1,Physical Object,700889009,20150131,20991231
B1011102,NEW TLC (CARTRIDGE),MEDIUM,B,봉합용 군,B1,자동봉합기 류,21005,LINEAR CUTTING CARTRIDGE-MEDIUM(3열),0.4617998,45764255,"Surgical staple, non-bioabsorbable",SNOMED,Device,S,0,1,Physical Object,700889009,20150131,20991231
B1012011,AUTOSUTURE ILA,LARGE,B,봉합용 군,B1,자동봉합기 류,21019,LINEAR CUTTING CARTRIDGE-LARGE(2열),0.639573038,45764255,"Surgical staple, non-bioabsorbable",SNOMED,Device,S,0,1,Physical Object,700889009,20150131,20991231
B1020002,CONTOUR RELOADABLE CARTRIDGE,40MM,B,봉합용 군,B1,자동봉합기 류,21013,CURVED CUTTING CARTRIDGE,0.543856323,45764255,"Surgical staple, non-bioabsorbable",SNOMED,Device,S,0,1,Physical Object,700889009,20150131,20991231
B1022001,AUTOSUTURE PREMIUM PLUS CEEA,전규격,B,봉합용 군,B1,자동봉합기 류,21017,CIRCULAR CUTTING -CURVED  TYPE,0.286330581,45771219,Intraluminal circular stapler,SNOMED,Device,S,1,2,Physical Object,701876007,20150131,20991231
B1022105,CS,전규격,B,봉합용 군,B1,자동봉합기 류,21017,CIRCULAR CUTTING -CURVED  TYPE,0.286915243,45771219,Intraluminal circular stapler,SNOMED,Device,S,1,2,Physical Object,701876007,20150131,20991231
B1101001,ENDO GIA,"SMALL,MEDIUM",B,봉합용 군,B1,자동봉합기 류,21025,"ENDOSCOPIC CUTTING CARTRIDGE-SMALL,MEDIUM",0.211419642,45764255,"Surgical staple, non-bioabsorbable",SNOMED,Device,S,0,1,Physical Object,700889009,20150131,20991231
B1101002,ETS & ETS-FLEX RELOAD CARTRIDGE,"SMALL,MEDIUM",B,봉합용 군,B1,자동봉합기 류,21025,"ENDOSCOPIC CUTTING CARTRIDGE-SMALL,MEDIUM",0.4223876,45764255,"Surgical staple, non-bioabsorbable",SNOMED,Device,S,0,1,Physical Object,700889009,20150131,20991231
B1101011,ENDO GIA II,"SMALL,MEDIUM",B,봉합용 군,B1,자동봉합기 류,21025,"ENDOSCOPIC CUTTING CARTRIDGE-SMALL,MEDIUM",0.186372727,45764255,"Surgical staple, non-bioabsorbable",SNOMED,Device,S,0,1,Physical Object,700889009,20150131,20991231
B1102002,ECHELON 60 ENDOSCOPIC RELOADABLE CARTRIDGE,60MM,B,봉합용 군,B1,자동봉합기 류,21024,ENDOSCOPIC CUTTING CARTRIDGE-LARGE,0.462516606,45764255,"Surgical staple, non-bioabsorbable",SNOMED,Device,S,0,1,Physical Object,700889009,20150131,20991231
B1111001,ENDO GIA ROTICULATOR,"SMALL,MEDIUM",B,봉합용 군,B1,자동봉합기 류,21009,"ARTICULATING ENDOSCOPIC CARTRIDGE-SMALL,MEDIUM",0.443602949,45764255,"Surgical staple, non-bioabsorbable",SNOMED,Device,S,0,1,Physical Object,700889009,20150131,20991231
B1501001,TA DST,전규격,B,봉합용 군,B1,자동봉합기 류,21022,LINEAR STAPLER BODY,0.291520417,45765046,"Open-surgery manual linear stapler, single-use",SNOMED,Device,S,0,1,Physical Object,701874005,20150131,20991231
B1601005,SINGLE USE RELOADABLE LINEAR CUTTER STAPLER,전규격,B,봉합용 군,B1,자동봉합기 류,21021,LINEAR CUTTING STAPLER BODY,0.464695424,45765043,"Open-surgery manual linear cutting stapler, single-use",SNOMED,Device,S,0,2,Physical Object,701871002,20150131,20991231
B1601102,NEW TLC (BODY),전규격,B,봉합용 군,B1,자동봉합기 류,21021,LINEAR CUTTING STAPLER BODY,0.263130516,45765043,"Open-surgery manual linear cutting stapler, single-use",SNOMED,Device,S,0,2,Physical Object,701871002,20150131,20991231
B1802011,MULTIFIRE ENDO GIA,전규격,B,봉합용 군,B1,자동봉합기 류,21023,ENDOSCOPIC CUTTING STAPLER BODY(일반형),0.325249702,45765044,"Endoscopic manual linear cutting stapler, single-use",SNOMED,Device,S,0,2,Physical Object,701872009,20150131,20991231
B1802012,ECHELON ENDOSCOPIC STAPLER,전규격,B,봉합용 군,B1,자동봉합기 류,21023,ENDOSCOPIC CUTTING STAPLER BODY(일반형),0.800701857,45765044,"Endoscopic manual linear cutting stapler, single-use",SNOMED,Device,S,0,2,Physical Object,701872009,20150131,20991231
B1802101,GIA UNIVERSAL,전규격 (흉강경용),B,봉합용 군,B1,자동봉합기 류,21023,ENDOSCOPIC CUTTING STAPLER BODY(일반형),0.620358288,45765044,"Endoscopic manual linear cutting stapler, single-use",SNOMED,Device,S,0,2,Physical Object,701872009,20150131,20991231
B1803002,ENDOPATH ENDOSCOPIC LINEAR CUTTER-FLEX,전규격,B,봉합용 군,B1,자동봉합기 류,21010,ARTICULATING ENDOSCOPIC STAPLER BODY,0.367911875,45765044,"Endoscopic manual linear cutting stapler, single-use",SNOMED,Device,S,0,2,Physical Object,701872009,20150131,20991231
B1804001,IDRIVE ULTRA POWERED HANDLE,전규격,B,봉합용 군,B1,자동봉합기 류,21026,ARTICULATING ENDOSCOPIC STAPLER BODY(전동식형),0.351547003,45764708,Endoscopic motorized cutting stapler,SNOMED,Device,S,1,3,Physical Object,701457004,20150131,20991231
B2001001,ENDO LOOP,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22010,내시경용 결찰재료-LOOP,0.559273601,45762077,Endotherapy ligature loop,SNOMED,Device,S,0,2,Physical Object,468519007,20150131,20991231
B2001005,SURGITIE,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22010,내시경용 결찰재료-LOOP,0.421797842,45762077,Endotherapy ligature loop,SNOMED,Device,S,0,2,Physical Object,468519007,20150131,20991231
B2011001,ENDO SUTURE,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22011,내시경용 결찰재료-SUTURE,0.74902302,45763987,"Endotherapy suturing unit, single-use",SNOMED,Device,S,0,1,Physical Object,700554001,20150131,20991231
B2011006,SUTURE LAPLOOP,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22011,내시경용 결찰재료-SUTURE,0.584256411,45763987,"Endotherapy suturing unit, single-use",SNOMED,Device,S,0,1,Physical Object,700554001,20150131,20991231
B2011105,V-LOC 180,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22011,내시경용 결찰재료-SUTURE,0.252719998,45763987,"Endotherapy suturing unit, single-use",SNOMED,Device,S,0,1,Physical Object,700554001,20150131,20991231
B2011205,V-LOC 90 (ABSORBABLE WOUND CLOSURE DEVICE),전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22011,내시경용 결찰재료-SUTURE,0.412079483,45763987,"Endotherapy suturing unit, single-use",SNOMED,Device,S,0,1,Physical Object,700554001,20150131,20991231
B2011401,STRATAFIX PGA-PCL,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22011,내시경용 결찰재료-SUTURE,0.333085477,45763987,"Endotherapy suturing unit, single-use",SNOMED,Device,S,0,1,Physical Object,700554001,20150131,20991231
B2121017,HANS-CLIP,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22004,내시경 및 관혈적 결찰재료-MANUAL CLIP(LOCK),0.43734023,45758132,"Ligation clip, non-metallic",SNOMED,Device,S,0,2,Physical Object,462671000,20150131,20991231
B2121018,CLICKA-V CLIP,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22004,내시경 및 관혈적 결찰재료-MANUAL CLIP(LOCK),0.325407922,45758132,"Ligation clip, non-metallic",SNOMED,Device,S,0,2,Physical Object,462671000,20150131,20991231
B2801005,ENDOCATCH BAG,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22007,ENDOSCOPY용 조직배출기구,0.506770313,45759711,Tissue extraction bag,SNOMED,Device,S,0,1,Physical Object,465091002,20150131,20991231
B2801111,ENDO-POUCH,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22007,ENDOSCOPY용 조직배출기구,0.442481071,45759711,Tissue extraction bag,SNOMED,Device,S,0,1,Physical Object,465091002,20150131,20991231
B3001003,SIGNET,전규격,S,선별급여 품목 군,S0,선별급여류,250071,피부봉합용 봉합기(비흡수성),0.572891712,45759886,Skin stapler,SNOMED,Device,S,0,1,Physical Object,465373001,20150131,20991231
B3001005,APPOSE,전규격,S,선별급여 품목 군,S0,선별급여류,250071,피부봉합용 봉합기(비흡수성),0.447427243,45759886,Skin stapler,SNOMED,Device,S,0,1,Physical Object,465373001,20150131,20991231
B3001007,REFLEX SKIN STAPLER,전규격,S,선별급여 품목 군,S0,선별급여류,250071,피부봉합용 봉합기(비흡수성),0.723720133,45759886,Skin stapler,SNOMED,Device,S,0,1,Physical Object,465373001,20150131,20991231
B3001008,의료용스태플,전규격,S,선별급여 품목 군,S0,선별급여류,250071,피부봉합용 봉합기(비흡수성),0,45759886,Skin stapler,SNOMED,Device,S,0,1,Physical Object,465373001,20150131,20991231
B3001016,ACOS SKIN STAPLER,전규격,S,선별급여 품목 군,S0,선별급여류,250071,피부봉합용 봉합기(비흡수성),0.800046384,45759886,Skin stapler,SNOMED,Device,S,0,1,Physical Object,465373001,20150131,20991231
B3001027,VISISTAT,전규격,S,선별급여 품목 군,S0,선별급여류,250071,피부봉합용 봉합기(비흡수성),0.382178575,45759886,Skin stapler,SNOMED,Device,S,0,1,Physical Object,465373001,20150131,20991231
B3001129,PROXIMATE PLUS MULTI- DIRECTIONAL SKIN STAPLER,전규격,S,선별급여 품목 군,S0,선별급여류,250071,피부봉합용 봉합기(비흡수성),0.48453936,45759886,Skin stapler,SNOMED,Device,S,0,1,Physical Object,465373001,20150131,20991231
B3001206,MANIPLER AZ,전규격,S,선별급여 품목 군,S0,선별급여류,250071,피부봉합용 봉합기(비흡수성),0.313474804,45759886,Skin stapler,SNOMED,Device,S,0,1,Physical Object,465373001,20150131,20991231
B3001306,3M PRECISE VISTA LITE DISPOSABLE SKIN STAPLER,전규격,S,선별급여 품목 군,S0,선별급여류,250071,피부봉합용 봉합기(비흡수성),0.518152893,45759886,Skin stapler,SNOMED,Device,S,0,1,Physical Object,465373001,20150131,20991231
B3100001,HEMOCLIP TRADITIONAL LIGATING CLIP(SMALL),전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22003,관혈적수술용 결찰재료-MANUAL CLIP(PRESS),0.204428717,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
B3101001,HEMOCLIP TRADITIONAL LIGATING CLIP(MEDIUM),전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22003,관혈적수술용 결찰재료-MANUAL CLIP(PRESS),0.266482323,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
B3102001,"HEMOCLIP TRADITIONAL LIGATING CLIP(MEDIUM/LARGE, LARGE)",전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22003,관혈적수술용 결찰재료-MANUAL CLIP(PRESS),0.357654572,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
B3200008,CHALLENGER TI-P,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22013,관혈적수술용 결찰재료-AUTOMATIC CLIP(PRESS),0.313503772,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
C1606128,"MULTIPLE CORTICAL BONETYPE (A,B TYPE)",전규격,C,골유합 및 골고정용 군,C1,체외고정기(SCREW/PIN 포함) 류,31026,외고정장치용 HALF PIN/SCREW,0.269638896,4231019,External fixator pin,SNOMED,Device,S,0,1,Physical Object,360169005,19700101,20991231
C6007004,CORTICAL SELF TAPPING SCREW,3.5,C,골유합 및 골고정용 군,C6,TRAUMA용 SCREW 류,36001,CORTEX SCREW(STAINLESS STEEL),0.475095123,45764177,"Orthopedic bone screw, non-bioabsorbable, sterile",SNOMED,Device,S,0,1,Physical Object,700789001,20150131,20991231
