source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date
AZ132,42359488,Korean EDI,"Chronic renal failure(CRF) Education, consultation fee- hemodialysis- Senior general hospital; 만성신부전 교육·상담료-혈액투석_상급종합병원",4103072,SNOMED,1970-01-01,2099-12-31
AZ200,42361472,Korean EDI,"Cancer patient Education, consultation fee- chemotherapy- General hospital; 암환자 교육·상담료-항암화학요법_종합병원",4301464,SNOMED,1970-01-01,2099-12-31
AZ201,42361456,Korean EDI,"Cancer patient Education, consultation fee- radiotherapy- General hospital; 암환자 교육·상담료-방사선치료_종합병원",4257954,SNOMED,1970-01-01,2099-12-31
AZ202,42361463,Korean EDI,"Cancer patient Education, consultation fee- after surgery- General hospital; 암환자 교육·상담료-수술 후_종합병원",4055248,SNOMED,1970-01-01,2099-12-31
AZ210,42356858,Korean EDI,"Heart disease Education, consultation fee- General hospital; 심장질환 교육·상담료_종합병원",4181176,SNOMED,2008-01-31,2099-12-31
AZ220,42365082,Korean EDI,"Intestinal fistula/urinary fistula Education, consultation fee- General hospital; 장루/요루 교육·상담료_종합병원",4261876,SNOMED,1970-01-01,2099-12-31
AZ230,42359484,Korean EDI,"Chronic renal failure(CRF) Education, consultation fee- patient without dialysis- General hospital; 만성신부전 교육·상담료-투석이 필요 없는 환자_종합병원",36715044,SNOMED,2017-01-31,2099-12-31
AZ231,42359479,Korean EDI,"Chronic renal failure(CRF) Education, consultation fee- peritoneal dialysis- General hospital; 만성신부전 교육·상담료-복막투석_종합병원",4280208,SNOMED,1970-01-01,2099-12-31
AZ232,42359491,Korean EDI,"Chronic renal failure(CRF) Education, consultation fee- hemodialysis- General hospital; 만성신부전 교육·상담료-혈액투석_종합병원",4103072,SNOMED,1970-01-01,2099-12-31
AZ300,42361466,Korean EDI,"Cancer patient Education, consultation fee- chemotherapy- hospital; 암환자 교육·상담료-항암화학요법_병원",4301464,SNOMED,1970-01-01,2099-12-31
AZ301,42358302,Korean EDI,"Cancer patient Education, consultation fee- radiotherapy- hospital; 암환자 교육·상담료-방사선치료_병원",4257954,SNOMED,1970-01-01,2099-12-31
AZ302,42358307,Korean EDI,"Cancer patient Education, consultation fee- after surgery- hospital; 암환자 교육·상담료-수술 후_병원",4055248,SNOMED,1970-01-01,2099-12-31
AZ310,42356854,Korean EDI,"Heart disease Education, consultation fee- hospital; 심장질환 교육·상담료_병원",4181176,SNOMED,2008-01-31,2099-12-31
AZ320,42366290,Korean EDI,"Intestinal fistula/urinary fistula Education, consultation fee- hospital; 장루/요루 교육·상담료_병원",4261876,SNOMED,1970-01-01,2099-12-31
AZ330,42359480,Korean EDI,"Chronic renal failure(CRF) Education, consultation fee- patient without dialysis- hospital; 만성신부전 교육·상담료-투석이 필요 없는 환자_병원",36715044,SNOMED,2017-01-31,2099-12-31
AZ331,42362666,Korean EDI,"Chronic renal failure(CRF) Education, consultation fee- peritoneal dialysis- hospital; 만성신부전 교육·상담료-복막투석_병원",4280208,SNOMED,1970-01-01,2099-12-31
AZ332,42359487,Korean EDI,"Chronic renal failure(CRF) Education, consultation fee- hemodialysis- hospital; 만성신부전 교육·상담료-혈액투석_병원",4103072,SNOMED,1970-01-01,2099-12-31
HD010,42358681,Korean EDI,Teletherapy Radiotherapy Planning-Single Port; 체외조사기본방사선치료계획[모의치료포함]1문조사제1회,4044940,SNOMED,1970-01-01,2099-12-31
HD013,42358699,Korean EDI,Computerized Radiotherapy Planning-Single Port; 체외조사전산화방사선치료계획[모의치료포함]1문조사제1회,4044940,SNOMED,1970-01-01,2099-12-31
HD017,42365118,Korean EDI,Computerized Radiotherapy Planning-Intra-Operative Radiation Therapy; 체외조사전산화방사선치료계획[모의치료포함]수술중방사선치료계획,4044940,SNOMED,1970-01-01,2099-12-31
HD022,42359371,Korean EDI,"Brachytherapy-Intracavitary or Intraluminal Therapy; 밀봉소선원치료에대한치료계획및모의치료-강내치료,관내치료",4182062,SNOMED,1970-01-01,2099-12-31
HD023,42342416,Korean EDI,Brachytherapy-Interstitial Therapy; 밀봉소선원치료에대한치료계획및모의치료-조직내치료,4182062,SNOMED,1970-01-01,2099-12-31
HD031,42365235,Korean EDI,Design and Construction of Therapeutic Devices-Shielding Block; 치료보조기구고안및제작-차폐물[재료대 포함],4040580,SNOMED,1970-01-01,2099-12-31
HD032,42366384,Korean EDI,Design and Construction of Therapeutic Devices-Compensator or Bolus; 치료보조기구고안및제작-보상체,4044942,SNOMED,1970-01-01,2099-12-31
HD033,42364149,Korean EDI,Design and Construction of Therapeutic Devices-Immobilization Devices; 치료보조기구고안및제작-고정기구,4263314,SNOMED,1970-01-01,2099-12-31
HD040,42362665,Korean EDI,Iodine-125 Permanent Implant for Prostate Cancer; 전립선암에 Iodine-125 영구삽입술[계획],4182062,SNOMED,1970-01-01,2099-12-31
HD041,42358717,Korean EDI,Computerized Radiotherapy Planning-Intensity Modulated Radiation Therapy Planning; 체외조사전산화방사선치료계획[모의치료포함]세기변조방사선치료계획제1회,4079574,SNOMED,1970-01-01,2099-12-31
HD051,42086483,Korean EDI,Teletherapy-Low Energy-Single Port; 체외조사[1회당]-저에너지방사선치료-1문조사,4141448,SNOMED,1970-01-01,2099-12-31
HD053,42358664,Korean EDI,Teletherapy-High Energy-Single Port; 체외조사[1회당]-고에너지방사선치료-1문조사,4141448,SNOMED,1970-01-01,2099-12-31
HD054,42358674,Korean EDI,Teletherapy-Low Energy-Paralled Opposed Ports; 체외조사[1회당]-저에너지방사선치료-2문대향(2문조사)부터,4141448,SNOMED,1970-01-01,2099-12-31
HD061,42359603,Korean EDI,3-Dimensional Conformal Therapy; 입체조형치료[1회당],762950,SNOMED,2018-01-31,2099-12-31
HD071,42360796,Korean EDI,Unsealed Source-Oral; 개봉선원치료-경구투여방법,4059831,SNOMED,1970-01-01,2099-12-31
HD072,42357699,Korean EDI,Unsealed Source-Intravenous; 개봉선원치료-정맥주사방법,4059831,SNOMED,1970-01-01,2099-12-31
HD073,42357696,Korean EDI,"Unsealed Source-Others; 개봉선원치료-기타방법[복막천자,흉강천자,관절천자등]",4059831,SNOMED,1970-01-01,2099-12-31
HD080,42362534,Korean EDI,Brachytherapy; 밀봉소선원치료-외부근접(접촉)조사치료[전치료기간당],40317890,SNOMED,1970-01-01,2099-12-31
HD081,42364680,Korean EDI,"Brachytherapy-Intracavitary Therapy-High Dose Rate; 밀봉소선원치료-강내치료(고선량률분할치료,1치료기간당,5~15회실시기준)",4293738,SNOMED,1970-01-01,2099-12-31
HD083,42359349,Korean EDI,"Brachytherapy-Intracavitary Therapy-Low Dose Rate; 밀봉소선원치료-강내치료(저선량률치료,방사성선원삽입당일)",4293738,SNOMED,1970-01-01,2099-12-31
HD085,42364342,Korean EDI,"Brachytherapy-Interstitial, Intraluminal Therapy-High Dose Rate; 밀봉소선원치료-조직내치료,관내치료(고선량률분할치료,1치료기간당,3회이상실시기준)",4012485,SNOMED,1970-01-01,2099-12-31
HD087,42362543,Korean EDI,"Brachytherapy-Interstitial, Intraluminal Therapy-Low Dose Rate; 밀봉소선원치료-조직내치료,관내치료(저선량률치료,방사성선원삽입당일)",4012485,SNOMED,1970-01-01,2099-12-31
HD088,42362548,Korean EDI,"Brachytherapy-Interstitial, Intraluminal Therapy-Low Dose Rate; 밀봉소선원치료-조직내치료,관내치료(저선량률치료,방사성선원삽입익일부터)",4012485,SNOMED,1970-01-01,2099-12-31
HD091,42359854,Korean EDI,Total Body Irradiation; 전신조사[1회당]-전신,4165515,SNOMED,1970-01-01,2099-12-31
HD092,42363050,Korean EDI,Total Body Lymph Node Irradiation; 전신조사[1회당]-전림프절,4165515,SNOMED,1970-01-01,2099-12-31
HD093,42359857,Korean EDI,Total Skin Electron Beam Therapy; 전신피부전자선조사,4020923,SNOMED,1970-01-01,2099-12-31
HD110,42348310,Korean EDI,Fractionated Stereotactic Radiotherapy; 정위적방사선분할치료[1회당],4215577,SNOMED,1970-01-01,2099-12-31
HD111,42364040,Korean EDI,Body Stereotactic Radiosurgery-LINAC; 체부정위적방사선수술[1회당]-선형가속기이용,4021989,SNOMED,1970-01-01,2099-12-31
HD113,42343949,Korean EDI,Cranial Stereotactic Radiosurgery-Gamma Knife; 뇌정위적방사선수술-감마나이프,4323896,SNOMED,2008-01-31,2099-12-31
HD114,42360124,Korean EDI,Cranial Stereotactic Radiosurgery-Cyber Knife; 뇌정위적방사선수술-사이버나이프,4323896,SNOMED,2008-01-31,2099-12-31
HD115,42357078,Korean EDI,Cranial Stereotactic Radiosurgery-LINAC; 뇌정위적방사선수술-선형가속기,4323896,SNOMED,2008-01-31,2099-12-31
HD121,42358424,Korean EDI,Proton Therapy; 양성자치료[1회당],4058600,SNOMED,1970-01-01,2099-12-31
HD150,42361592,Korean EDI,Iodine-125 Permanent Implant for Prostate Cancer; 전립선암에 Iodine-125 영구삽입술[치료],4137529,SNOMED,1970-01-01,2099-12-31
HD211,42357702,Korean EDI,Body Stereotactic Radiosurgery-Cyber Knife; 체부정위적방사선수술[1회당]-사이버나이프이용,4021989,SNOMED,1970-01-01,2099-12-31
HD212,42364045,Korean EDI,Body Stereotactic Radiosurgery-Cyber Knife; 체부정위적방사선수술[1회로 치료종결]-사이버나이프이용,4021989,SNOMED,1970-01-01,2099-12-31
HD410,42358684,Korean EDI,Teletherapy Radiotherapy Planning-Single Port; 체외조사기본방사선치료계획[모의치료포함]1문조사제2회부터[1회당],4044940,SNOMED,1970-01-01,2099-12-31
HD411,42358690,Korean EDI,Teletherapy Radiotherapy Planning-Paralled Opposed Ports; 체외조사기본방사선치료계획[모의치료포함]2문대향조사제2회부터[1회당],4044940,SNOMED,1970-01-01,2099-12-31
HD412,42358696,Korean EDI,"Teletherapy Radiotherapy Planning-Non-Paralled Opposed Ports, More Than 3 Ports; 체외조사기본방사선치료계획[모의치료포함]비대향2문,3문이상조사제2회부터[1회당]",4044940,SNOMED,1970-01-01,2099-12-31
HE109,42327543,Korean EDI,Cervical Spine MRI; 기본자기공명영상진단-척추-경추-일반,4082840,SNOMED,1970-01-01,2099-12-31
HE110,42365619,Korean EDI,Thoracic Spine MRI; 기본자기공명영상진단-척추-흉추-일반,4082988,SNOMED,1970-01-01,2099-12-31
HE111,42357724,Korean EDI,Lumbosacral Spine MRI; 기본자기공명영상진단-척추-요천추-일반,4202579,SNOMED,2009-01-31,2099-12-31
HE113,42357762,Korean EDI,Basic Magnetic Resonance Imaging- spine- lumbosacral spine- thoracic spine simultaneous photographing- general; 기본자기공명영상진단-척추-요천추-흉추와동시촬영-일반,4082839,SNOMED,1970-01-01,2099-12-31
HE119,42357418,Korean EDI,Sacroiliac Joint MRI; 기본자기공명영상진단-근골격계-천장골관절-일반,4170921,SNOMED,1970-01-01,2099-12-31
HE122,42353322,Korean EDI,Upper Extremity MRI; 기본자기공명영상진단-근골격계-관절외상지-일반,4086399,SNOMED,1970-01-01,2099-12-31
HE123,42357267,Korean EDI,Lower Extremity MRI; 기본자기공명영상진단-근골격계-관절외하지-일반,4010415,SNOMED,1970-01-01,2099-12-31
HE124,42363206,Korean EDI,Heart MRI; 기본자기공명영상진단-흉부-심장-일반,4082987,SNOMED,1970-01-01,2099-12-31
HE125,42365436,Korean EDI,Chest MRI; 기본자기공명영상진단-흉부-흉부-일반,4246485,SNOMED,1970-01-01,2099-12-31
HE126,42357976,Korean EDI,Breast MRI; 기본자기공명영상진단-흉부-유방-일반,4082984,SNOMED,1970-01-01,2099-12-31
HE127,42357540,Korean EDI,Abdomen MRI; 기본자기공명영상진단-복부-복부-일반,4083230,SNOMED,1970-01-01,2099-12-31
HE128,42362708,Korean EDI,Pelvis MRI; 기본자기공명영상진단-복부-골반-일반,4097527,SNOMED,1970-01-01,2099-12-31
HE129,42360760,Korean EDI,Pancreas MRI; 기본자기공명영상진단-복부-췌장-일반,4083232,SNOMED,1970-01-01,2099-12-31
HE130,42363882,Korean EDI,Kidney and Adrenal MRI; 기본자기공명영상진단-복부-신장및부신-일반,4083231,SNOMED,1970-01-01,2099-12-31
HE131,42363915,Korean EDI,Scrotum and Penile MRI; 기본자기공명영상진단-복부-음낭및음경-일반,4086276,SNOMED,1970-01-01,2099-12-31
HE132,42357451,Korean EDI,Liver MRI; 기본자기공명영상진단-복부-간-일반,4082709,SNOMED,1970-01-01,2099-12-31
HE133,42357509,Korean EDI,Cholangiogram MRI; 기본자기공명영상진단-복부-담췌관-일반,4194588,SNOMED,1970-01-01,2099-12-31
HE134,42325421,Korean EDI,Prostate MRI; 기본자기공명영상진단-복부-전립선-일반,4192638,SNOMED,1970-01-01,2099-12-31
HE138,42331984,Korean EDI,Abdominal MRA; 기본자기공명영상진단-혈관-복부혈관-일반,4082990,SNOMED,1970-01-01,2099-12-31
HE141,42364013,Korean EDI,Whole body MRI; 기본자기공명영상진단-전신-일반,4138476,SNOMED,1970-01-01,2099-12-31
HE142,42357294,Korean EDI,Basic Magnetic Resonance Imaging- musculoskeletal system- arthrography; 기본자기공명영상진단-근골격계-관절조영,4086404,SNOMED,1970-01-01,2099-12-31
HE209,42357708,Korean EDI,Cervical Spine MRI; 기본자기공명영상진단-척추-경추-조영제주입전·후 촬영판독,4245419,SNOMED,1970-01-01,2099-12-31
HE210,42357854,Korean EDI,Thoracic Spine MRI; 기본자기공명영상진단-척추-흉추-조영제주입전·후 촬영판독,4238572,SNOMED,1970-01-01,2099-12-31
HE215,42357198,Korean EDI,Shoulder Joint MRI; 기본자기공명영상진단-근골격계-견관절-조영제주입전·후 촬영판독,4201068,SNOMED,2009-01-31,2099-12-31
HE216,42357398,Korean EDI,Elbow Joint MRI; 기본자기공명영상진단-근골격계-주관절-조영제주입전·후 촬영판독,4199537,SNOMED,2009-01-31,2099-12-31
HE217,42363631,Korean EDI,Wrist Joint MRI; 기본자기공명영상진단-근골격계-수관절-조영제주입전·후 촬영판독,45765712,SNOMED,2015-01-31,2099-12-31
HE218,42357225,Korean EDI,Hip Joint MRI; 기본자기공명영상진단-근골격계-고관절-조영제주입전·후 촬영판독,4330514,SNOMED,2009-01-31,2099-12-31
HE219,42360516,Korean EDI,Sacroiliac Joint MRI; 기본자기공명영상진단-근골격계-천장골관절-조영제주입전·후 촬영판독,40491450,SNOMED,2011-07-31,2099-12-31
HE220,42362590,Korean EDI,Knee Joint MRI; 기본자기공명영상진단-근골격계-슬관절-조영제주입전·후 촬영판독,4332928,SNOMED,2009-01-31,2099-12-31
HE221,42357310,Korean EDI,Ankle Joint MRI; 기본자기공명영상진단-근골격계-발목관절-조영제주입전·후 촬영판독,4335220,SNOMED,2009-01-31,2099-12-31
HE222,42357249,Korean EDI,Upper Extremity MRI; 기본자기공명영상진단-근골격계-관절외상지-조영제주입전·후 촬영판독,37016763,SNOMED,2016-01-31,2099-12-31
HE223,42357281,Korean EDI,Lower Extremity MRI; 기본자기공명영상진단-근골격계-관절외하지-조영제주입전·후 촬영판독,45765711,SNOMED,2015-01-31,2099-12-31
HE224,42357957,Korean EDI,Heart MRI; 기본자기공명영상진단-흉부-심장-조영제주입전·후 촬영판독,42689598,SNOMED,2017-04-01,2099-12-31
HE225,42358024,Korean EDI,Chest MRI; 기본자기공명영상진단-흉부-흉부-조영제주입전·후 촬영판독,4202274,SNOMED,2009-01-31,2099-12-31
HE226,42364334,Korean EDI,Breast MRI; 기본자기공명영상진단-흉부-유방-조영제주입전·후 촬영판독,4201225,SNOMED,2009-01-31,2099-12-31
HE227,42357554,Korean EDI,Abdomen MRI; 기본자기공명영상진단-복부-복부-조영제주입전·후 촬영판독,4335399,SNOMED,2009-01-31,2099-12-31
HE228,42362722,Korean EDI,Pelvis MRI; 기본자기공명영상진단-복부-골반-조영제주입전·후 촬영판독,4161393,SNOMED,2009-01-31,2099-12-31
HE229,42357671,Korean EDI,Pancreas MRI; 기본자기공명영상진단-복부-췌장-조영제주입전·후 촬영판독,40486021,SNOMED,2011-01-31,2099-12-31
HE230,42357586,Korean EDI,Kidney and Adrenal MRI; 기본자기공명영상진단-복부-신장및부신-조영제주입전·후 촬영판독,45765684,SNOMED,2015-01-31,2099-12-31
HE231,42360709,Korean EDI,Scrotum and Penile MRI; 기본자기공명영상진단-복부-음낭및음경-조영제주입전·후 촬영판독,46273764,SNOMED,2015-07-31,2099-12-31
HE232,42357456,Korean EDI,Liver MRI; 기본자기공명영상진단-복부-간-조영제주입전·후 촬영판독,4329640,SNOMED,2009-01-31,2099-12-31
HE233,42348212,Korean EDI,Cholangiogram MRI; 기본자기공명영상진단-복부-담췌관-조영제주입전·후 촬영판독,4326191,SNOMED,2009-01-31,2099-12-31
HE234,42086545,Korean EDI,Prostate MRI; 기본자기공명영상진단-복부-전립선-조영제주입전·후 촬영판독,46271409,SNOMED,2015-07-31,2099-12-31
HE237,42357931,Korean EDI,Thoracic MRA; 기본자기공명영상진단-혈관-흉부혈관-조영제주입전·후 촬영판독,46273026,SNOMED,2015-07-31,2099-12-31
HE238,42354513,Korean EDI,Abdominal MRA; 기본자기공명영상진단-혈관-복부혈관-조영제주입전·후 촬영판독,46273948,SNOMED,2015-07-31,2099-12-31
HE239,42357895,Korean EDI,Extremity MRA; 기본자기공명영상진단-혈관-사지혈관-조영제주입전·후 촬영판독,46271447,SNOMED,2015-07-31,2099-12-31
HE241,42357697,Korean EDI,Whole body MRI; 기본자기공명영상진단-전신-조영제주입전·후 촬영판독,37208979,SNOMED,2019-07-31,2099-12-31
HE309,42357714,Korean EDI,Cervical Spine MRI; 기본자기공명영상진단-척추-경추-중재적시술유도제2회부터,4082840,SNOMED,1970-01-01,2099-12-31
HE310,42357860,Korean EDI,Thoracic Spine MRI; 기본자기공명영상진단-척추-흉추-중재적시술유도제2회부터,4082988,SNOMED,1970-01-01,2099-12-31
HE311,42357742,Korean EDI,Lumbosacral Spine MRI; 기본자기공명영상진단-척추-요천추-중재적시술유도제2회부터,4202579,SNOMED,2009-01-31,2099-12-31
HE312,42357828,Korean EDI,Myelogram MRI; 기본자기공명영상진단-척추-척추강-중재적시술유도제2회부터,37017030,SNOMED,2016-01-31,2099-12-31
HE313,42357753,Korean EDI,Basic Magnetic Resonance Imaging- spine- lumbosacral spine- thoracic spine simultaneous photographing-Induction of interventional procedure- from 2nd time; 기본자기공명영상진단-척추-요천추-흉추 동시촬영-중재적시술유도제2회부터,4082839,SNOMED,1970-01-01,2099-12-31
HE314,42357806,Korean EDI,"Basic Magnetic Resonance Imaging- spine- myelogram- cervical, thoracic, lumbosacral spine simultaneous photographing- Induction of interventional procedure- from 2nd time; 기본자기공명영상진단-척추-척추강-경추,흉추,요천추와동시촬영-중재적시술유도제2회부터",4082839,SNOMED,1970-01-01,2099-12-31
HE322,42360325,Korean EDI,Upper Extremity MRI; 기본자기공명영상진단-근골격계-관절외상지-중재적시술유도제2회부터,4086399,SNOMED,1970-01-01,2099-12-31
HE323,42357287,Korean EDI,Lower Extremity MRI; 기본자기공명영상진단-근골격계-관절외하지-중재적시술유도제2회부터,4010415,SNOMED,1970-01-01,2099-12-31
HE324,42357963,Korean EDI,Heart MRI; 기본자기공명영상진단-흉부-심장-중재적시술유도제2회부터,4082987,SNOMED,1970-01-01,2099-12-31
HE325,42358030,Korean EDI,Chest MRI; 기본자기공명영상진단-흉부-흉부-중재적시술유도제2회부터,4246485,SNOMED,1970-01-01,2099-12-31
HE326,42357996,Korean EDI,Breast MRI; 기본자기공명영상진단-흉부-유방-중재적시술유도제2회부터,4082984,SNOMED,1970-01-01,2099-12-31
HE327,42357560,Korean EDI,Abdomen MRI; 기본자기공명영상진단-복부-복부-중재적시술유도제2회부터,4083230,SNOMED,1970-01-01,2099-12-31
HE328,42357496,Korean EDI,Pelvis MRI; 기본자기공명영상진단-복부-골반-중재적시술유도제2회부터,4097527,SNOMED,1970-01-01,2099-12-31
HE329,42363998,Korean EDI,Pancreas MRI; 기본자기공명영상진단-복부-췌장-중재적시술유도제2회부터,4083232,SNOMED,1970-01-01,2099-12-31
HE330,42357590,Korean EDI,Kidney and Adrenal MRI; 기본자기공명영상진단-복부-신장및부신-중재적시술유도제2회부터,4083231,SNOMED,1970-01-01,2099-12-31
HE331,42357618,Korean EDI,Scrotum and Penile MRI; 기본자기공명영상진단-복부-음낭및음경-중재적시술유도제2회부터,4086276,SNOMED,1970-01-01,2099-12-31
HE332,42363769,Korean EDI,Liver MRI; 기본자기공명영상진단-복부-간-중재적시술유도제2회부터,4082709,SNOMED,1970-01-01,2099-12-31
HE333,42357527,Korean EDI,Cholangiogram MRI; 기본자기공명영상진단-복부-담췌관-중재적시술유도제2회부터,4194588,SNOMED,1970-01-01,2099-12-31
HE334,42357646,Korean EDI,Prostate MRI; 기본자기공명영상진단-복부-전립선-중재적시술유도제2회부터,4192638,SNOMED,1970-01-01,2099-12-31
HE409,42357701,Korean EDI,Cervical Spine MRI(Limited); 기본자기공명영상진단-척추-경추-제한적(방사선치료범위및위치결정등),4082840,SNOMED,1970-01-01,2099-12-31
HE410,42357848,Korean EDI,Thoracic Spine MRI(Limited); 기본자기공명영상진단-척추-흉추-제한적(방사선치료범위및위치결정등),4082988,SNOMED,1970-01-01,2099-12-31
HE411,42357731,Korean EDI,Lumbosacral Spine MRI(Limited); 기본자기공명영상진단-척추-요천추-제한적(방사선치료범위및위치결정등),4202579,SNOMED,2009-01-31,2099-12-31
